college_id,year,exam_type,category,cutoff_rank,cutoff_marks
101,2021,NEET,OBC,520,79
101,2021,NEET,SC,1550,74
101,2021,NEET,ST,2100,71
101,2022,NEET,General,105,84
101,2022,NEET,OBC,510,79
101,2022,NEET,SC,1520,74
101,2022,NEET,ST,2050,71
101,2023,NEET,General,100,85
101,2023,NEET,OBC,500,80
101,2023,NEET,SC,1500,75
101,2023,NEET,ST,2000,72
101,2024,NEET,General,95,85
101,2024,NEET,OBC,480,80
101,2024,NEET,SC,1450,75
101,2024,NEET,ST,1950,72
101,2025,NEET,General,90,86
101,2025,NEET,OBC,460,81
101,2025,NEET,SC,1400,76
101,2025,NEET,ST,1900,73
102,2020,NEET,General,550,78
102,2020,NEET,OBC,1300,73
102,2020,NEET,SC,2700,68
102,2020,NEET,ST,3400,65
102,2021,NEET,General,520,79
102,2021,NEET,OBC,1250,74
102,2021,NEET,SC,2600,69
102,2021,NEET,ST,3300,66
102,2022,NEET,General,510,79
102,2022,NEET,OBC,1220,74
102,2022,NEET,SC,2550,69
102,2022,NEET,ST,3250,66
102,2023,NEET,General,500,80
102,2023,NEET,OBC,1200,75
102,2023,NEET,SC,2500,70
102,2023,NEET,ST,3200,67
102,2024,NEET,General,480,80
102,2024,NEET,OBC,1180,75
102,2024,NEET,SC,2450,70
102,2024,NEET,ST,3150,67
102,2025,NEET,General,460,81
102,2025,NEET,OBC,1160,76
102,2025,NEET,SC,2400,71
102,2025,NEET,ST,3100,68
103,2020,NEET,General,1100,76
103,2020,NEET,OBC,2200,71
103,2020,NEET,SC,4200,66
103,2020,NEET,ST,5200,63
103,2021,NEET,General,1050,77
103,2021,NEET,OBC,2100,72
103,2021,NEET,SC,4100,67
103,2021,NEET,ST,5100,64
103,2022,NEET,General,1020,77
103,2022,NEET,OBC,2050,72
103,2022,NEET,SC,4050,67
103,2022,NEET,ST,5050,64
103,2023,NEET,General,1000,78
103,2023,NEET,OBC,2000,73
103,2023,NEET,SC,4000,68
103,2023,NEET,ST,5000,65
103,2024,NEET,General,980,78
103,2024,NEET,OBC,1950,73
103,2024,NEET,SC,3950,68
103,2024,NEET,ST,4950,65
103,2025,NEET,General,960,79
103,2025,NEET,OBC,1900,74
103,2025,NEET,SC,3900,69
103,2025,NEET,ST,4900,66
104,2020,NEET,General,850,77
104,2020,NEET,OBC,1600,72
104,2020,NEET,SC,3200,67
104,2020,NEET,ST,4000,64
104,2021,NEET,General,820,78
104,2021,NEET,OBC,1550,73
104,2021,NEET,SC,3100,68
104,2021,NEET,ST,3900,65
104,2022,NEET,General,810,78
104,2022,NEET,OBC,1520,73
104,2022,NEET,SC,3050,68
104,2022,NEET,ST,3850,65
104,2023,NEET,General,800,79
104,2023,NEET,OBC,1500,74
104,2023,NEET,SC,3000,69
104,2023,NEET,ST,3800,66
104,2024,NEET,General,780,79
104,2024,NEET,OBC,1480,74
104,2024,NEET,SC,2950,69
104,2024,NEET,ST,3750,66
104,2025,NEET,General,760,80
104,2025,NEET,OBC,1460,75
104,2025,NEET,SC,2900,70
104,2025,NEET,ST,3700,67
119,2020,NEET,General,4200,68
119,2020,NEET,OBC,6200,63
119,2020,NEET,SC,10200,58
119,2020,NEET,ST,12200,55
119,2021,NEET,General,4100,69
119,2021,NEET,OBC,6100,64
119,2021,NEET,SC,10100,59
119,2021,NEET,ST,12100,56
119,2022,NEET,General,4050,69
119,2022,NEET,OBC,6050,64
119,2022,NEET,SC,10050,59
119,2022,NEET,ST,12050,56
119,2023,NEET,General,4000,70
119,2023,NEET,OBC,6000,65
119,2023,NEET,SC,10000,60
119,2023,NEET,ST,12000,57
119,2024,NEET,General,3900,70
119,2024,NEET,OBC,5900,65
119,2024,NEET,SC,9900,60
119,2024,NEET,ST,11900,57
119,2025,NEET,General,3800,71
119,2025,NEET,OBC,5800,66
119,2025,NEET,SC,9800,61
119,2025,NEET,ST,11800,58
120,2020,NEET,General,4700,67
120,2020,NEET,OBC,6700,62
120,2020,NEET,SC,11200,57
120,2020,NEET,ST,13200,54
120,2021,NEET,General,4600,68
120,2021,NEET,OBC,6600,63
120,2021,NEET,SC,11100,58
120,2021,NEET,ST,13100,55
120,2022,NEET,General,4550,68
120,2022,NEET,OBC,6550,63
120,2022,NEET,SC,11050,58
120,2022,NEET,ST,13050,55
120,2023,NEET,General,4500,69
120,2023,NEET,OBC,6500,64
120,2023,NEET,SC,11000,59
120,2023,NEET,ST,13000,56
120,2024,NEET,General,4400,69
120,2024,NEET,OBC,6400,64
120,2024,NEET,SC,10900,59
120,2024,NEET,ST,12900,56
120,2025,NEET,General,4300,70
120,2025,NEET,OBC,6300,65
120,2025,NEET,SC,10800,60
120,2025,NEET,ST,12800,57
121,2020,NEET,General,2200,72
121,2020,NEET,OBC,3200,67
121,2020,NEET,SC,6200,62
121,2020,NEET,ST,7200,59
121,2021,NEET,General,2100,73
121,2021,NEET,OBC,3100,68
121,2021,NEET,SC,6100,63
121,2021,NEET,ST,7100,60
121,2022,NEET,General,2050,73
121,2022,NEET,OBC,3050,68
121,2022,NEET,SC,6050,63
121,2022,NEET,ST,7050,60
121,2023,NEET,General,2000,74
121,2023,NEET,OBC,3000,69
121,2023,NEET,SC,6000,64
121,2023,NEET,ST,7000,61
121,2024,NEET,General,1950,74
121,2024,NEET,OBC,2950,69
121,2024,NEET,SC,5950,64
121,2024,NEET,ST,6950,61
121,2025,NEET,General,1900,75
121,2025,NEET,OBC,2900,70
121,2025,NEET,SC,5900,65
121,2025,NEET,ST,6900,62
122,2020,NEET,General,3700,69
122,2020,NEET,OBC,5200,64
122,2020,NEET,SC,8200,59
122,2020,NEET,ST,9200,56
122,2021,NEET,General,3600,70
122,2021,NEET,OBC,5100,65
122,2021,NEET,SC,8100,60
122,2021,NEET,ST,9100,57
122,2022,NEET,General,3550,70
122,2022,NEET,OBC,5050,65
122,2022,NEET,SC,8050,60
122,2022,NEET,ST,9050,57
122,2023,NEET,General,3500,71
122,2023,NEET,OBC,5000,66
122,2023,NEET,SC,8000,61
122,2023,NEET,ST,9000,58
122,2024,NEET,General,3400,71
122,2024,NEET,OBC,4900,66
122,2024,NEET,SC,7900,61
122,2024,NEET,ST,8900,58
122,2025,NEET,General,3300,72
122,2025,NEET,OBC,4800,67
122,2025,NEET,SC,7800,62
122,2025,NEET,ST,8800,59
123,2020,NEET,General,6200,65
123,2020,NEET,OBC,8200,60
123,2020,NEET,SC,12200,55
123,2020,NEET,ST,14200,52
123,2021,NEET,General,6100,66
123,2021,NEET,OBC,8100,61
123,2021,NEET,SC,12100,56
123,2021,NEET,ST,14100,53
123,2022,NEET,General,6050,66
123,2022,NEET,OBC,8050,61
123,2022,NEET,SC,12050,56
123,2022,NEET,ST,14050,53
123,2023,NEET,General,6000,67
123,2023,NEET,OBC,8000,62
123,2023,NEET,SC,12000,57
123,2023,NEET,ST,14000,54
123,2024,NEET,General,5900,67
123,2024,NEET,OBC,7900,62
123,2024,NEET,SC,11900,57
123,2024,NEET,ST,13900,54
123,2025,NEET,General,5800,68
123,2025,NEET,OBC,7800,63
123,2025,NEET,SC,11800,58
123,2025,NEET,ST,13800,55
124,2020,NEET,General,8200,63
124,2020,NEET,OBC,10200,58
124,2020,NEET,SC,15200,53
124,2020,NEET,ST,17200,50
124,2021,NEET,General,8100,64
124,2021,NEET,OBC,10100,59
124,2021,NEET,SC,15100,54
124,2021,NEET,ST,17100,51
124,2022,NEET,General,8050,64
124,2022,NEET,OBC,10050,59
124,2022,NEET,SC,15050,54
124,2022,NEET,ST,17050,51
124,2023,NEET,General,8000,65
124,2023,NEET,OBC,10000,60
124,2023,NEET,SC,15000,55
124,2023,NEET,ST,17000,52
124,2024,NEET,General,7900,65
124,2024,NEET,OBC,9900,60
124,2024,NEET,SC,14900,55
124,2024,NEET,ST,16900,52
124,2025,NEET,General,7800,66
124,2025,NEET,OBC,9800,61
124,2025,NEET,SC,14800,56
124,2025,NEET,ST,16800,53
125,2020,NEET,General,7200,64
125,2020,NEET,OBC,9200,59
125,2020,NEET,SC,13200,54
125,2020,NEET,ST,15200,51
125,2021,NEET,General,7100,65
125,2021,NEET,OBC,9100,60
125,2021,NEET,SC,13100,55
125,2021,NEET,ST,15100,52
125,2022,NEET,General,7050,65
125,2022,NEET,OBC,9050,60
125,2022,NEET,SC,13050,55
125,2022,NEET,ST,15050,52
125,2023,NEET,General,7000,66
125,2023,NEET,OBC,9000,61
125,2023,NEET,SC,13000,56
125,2023,NEET,ST,15000,53
125,2024,NEET,General,6900,66
125,2024,NEET,OBC,8900,61
125,2024,NEET,SC,12900,56
125,2024,NEET,ST,14900,53
125,2025,NEET,General,6800,67
125,2025,NEET,OBC,8800,62
125,2025,NEET,SC,12800,57
125,2025,NEET,ST,14800,54
