college_id,year,exam_type,category,cutoff_rank,cutoff_marks
206,2022,UGCET,ST,41600,46
206,2023,UGCET,General,21400,59
206,2023,UGCET,OBC,26400,54
206,2023,UGCET,SC,36400,49
206,2023,UGCET,ST,41400,46
206,2024,UGCET,General,21200,60
206,2024,UGCET,OBC,26200,55
206,2024,UGCET,SC,36200,50
206,2024,UGCET,ST,41200,47
206,2025,UGCET,General,21000,60
206,2025,UGCET,OBC,26000,55
206,2025,UGCET,SC,36000,50
206,2025,UGCET,ST,41000,47
207,2020,PGCET,General,6000,74
207,2020,PGCET,OBC,10000,69
207,2020,PGCET,SC,15000,64
207,2020,PGCET,ST,18000,61
207,2021,PGCET,General,5900,74
207,2021,PGCET,OBC,9900,69
207,2021,PGCET,SC,14900,64
207,2021,PGCET,ST,17900,61
207,2022,PGCET,General,5800,75
207,2022,PGCET,OBC,9800,70
207,2022,PGCET,SC,14800,65
207,2022,PGCET,ST,17800,62
207,2023,PGCET,General,5700,75
207,2023,PGCET,OBC,9700,70
207,2023,PGCET,SC,14700,65
207,2023,PGCET,ST,17700,62
207,2024,PGCET,General,5600,76
207,2024,PGCET,OBC,9600,71
207,2024,PGCET,SC,14600,66
207,2024,PGCET,ST,17600,63
207,2025,PGCET,General,5500,76
207,2025,PGCET,OBC,9500,71
207,2025,PGCET,SC,14500,66
207,2025,PGCET,ST,17500,63
208,2020,BCA Entrance,General,25000,55
208,2020,BCA Entrance,OBC,30000,50
208,2020,BCA Entrance,SC,40000,45
208,2020,BCA Entrance,ST,45000,42
208,2021,BCA Entrance,General,24800,55
208,2021,BCA Entrance,OBC,29800,50
208,2021,BCA Entrance,SC,39800,45
208,2021,BCA Entrance,ST,44800,42
208,2022,BCA Entrance,General,24600,56
208,2022,BCA Entrance,OBC,29600,51
208,2022,BCA Entrance,SC,39600,46
208,2022,BCA Entrance,ST,44600,43
208,2023,BCA Entrance,General,24400,56
208,2023,BCA Entrance,OBC,29400,51
208,2023,BCA Entrance,SC,39400,46
208,2023,BCA Entrance,ST,44400,43
208,2024,BCA Entrance,General,24200,57
208,2024,BCA Entrance,OBC,29200,52
208,2024,BCA Entrance,SC,39200,47
208,2024,BCA Entrance,ST,44200,44
208,2025,BCA Entrance,General,24000,57
208,2025,BCA Entrance,OBC,29000,52
208,2025,BCA Entrance,SC,39000,47
208,2025,BCA Entrance,ST,44000,44
209,2020,MCA Entrance,General,11000,67
209,2020,MCA Entrance,OBC,16000,62
209,2020,MCA Entrance,SC,23000,57
209,2020,MCA Entrance,ST,27000,54
209,2021,MCA Entrance,General,10800,67
209,2021,MCA Entrance,OBC,15800,62
209,2021,MCA Entrance,SC,22800,57
209,2021,MCA Entrance,ST,26800,54
209,2022,MCA Entrance,General,10600,68
209,2022,MCA Entrance,OBC,15600,63
209,2022,MCA Entrance,SC,22600,58
209,2022,MCA Entrance,ST,26600,55
209,2023,MCA Entrance,General,10400,68
209,2023,MCA Entrance,OBC,15400,63
209,2023,MCA Entrance,SC,22400,58
209,2023,MCA Entrance,ST,26400,55
209,2024,MCA Entrance,General,10200,69
209,2024,MCA Entrance,OBC,15200,64
209,2024,MCA Entrance,SC,22200,59
209,2024,MCA Entrance,ST,26200,56
209,2025,MCA Entrance,General,10000,69
209,2025,MCA Entrance,OBC,15000,64
209,2025,MCA Entrance,SC,22000,59
209,2025,MCA Entrance,ST,26000,56
210,2020,UGCET,General,19000,60
210,2020,UGCET,OBC,24000,55
210,2020,UGCET,SC,34000,50
210,2020,UGCET,ST,39000,47
210,2021,UGCET,General,18800,60
210,2021,UGCET,OBC,23800,55
210,2021,UGCET,SC,33800,50
210,2021,UGCET,ST,38800,47
210,2022,UGCET,General,18600,61
210,2022,UGCET,OBC,23600,56
210,2022,UGCET,SC,33600,51
210,2022,UGCET,ST,38600,48
210,2023,UGCET,General,18400,61
210,2023,UGCET,OBC,23400,56
210,2023,UGCET,SC,33400,51
210,2023,UGCET,ST,38400,48
210,2024,UGCET,General,18200,62
210,2024,UGCET,OBC,23200,57
210,2024,UGCET,SC,33200,52
210,2024,UGCET,ST,38200,49
210,2025,UGCET,General,18000,62
210,2025,UGCET,OBC,23000,57
210,2025,UGCET,SC,33000,52
210,2025,UGCET,ST,38000,49
211,2020,PGCET,General,7000,73
211,2020,PGCET,OBC,11000,68
211,2020,PGCET,SC,16000,63
211,2020,PGCET,ST,19000,60
211,2021,PGCET,General,6900,73
211,2021,PGCET,OBC,10900,68
211,2021,PGCET,SC,15900,63
211,2021,PGCET,ST,18900,60
211,2022,PGCET,General,6800,74
211,2022,PGCET,OBC,10800,69
211,2022,PGCET,SC,15800,64
211,2022,PGCET,ST,18800,61
211,2023,PGCET,General,6700,74
211,2023,PGCET,OBC,10700,69
211,2023,PGCET,SC,15700,64
211,2023,PGCET,ST,18700,61
211,2024,PGCET,General,6600,75
211,2024,PGCET,OBC,10600,70
211,2024,PGCET,SC,15600,65
211,2024,PGCET,ST,18600,62
211,2025,PGCET,General,6500,75
211,2025,PGCET,OBC,10500,70
211,2025,PGCET,SC,15500,65
211,2025,PGCET,ST,18500,62
212,2020,IPU CET,General,14000,64
212,2020,IPU CET,OBC,19000,59
212,2020,IPU CET,SC,27000,54
212,2020,IPU CET,ST,31000,51
212,2021,IPU CET,General,13800,64
212,2021,IPU CET,OBC,18800,59
212,2021,IPU CET,SC,26800,54
212,2021,IPU CET,ST,30800,51
212,2022,IPU CET,General,13600,65
212,2022,IPU CET,OBC,18600,60
212,2022,IPU CET,SC,26600,55
212,2022,IPU CET,ST,30600,52
212,2023,IPU CET,General,13400,65
212,2023,IPU CET,OBC,18400,60
212,2023,IPU CET,SC,26400,55
212,2023,IPU CET,ST,30400,52
212,2024,IPU CET,General,13200,66
212,2024,IPU CET,OBC,18200,61
212,2024,IPU CET,SC,26200,56
212,2024,IPU CET,ST,30200,53
212,2025,IPU CET,General,13000,66
212,2025,IPU CET,OBC,18000,61
212,2025,IPU CET,SC,26000,56
212,2025,IPU CET,ST,30000,53
213,2020,MHT CET,General,20000,58
213,2020,MHT CET,OBC,25000,53
213,2020,MHT CET,SC,35000,48
213,2020,MHT CET,ST,40000,45
213,2021,MHT CET,General,19800,58
213,2021,MHT CET,OBC,24800,53
213,2021,MHT CET,SC,34800,48
213,2021,MHT CET,ST,39800,45
213,2022,MHT CET,General,19600,59
213,2022,MHT CET,OBC,24600,54
213,2022,MHT CET,SC,34600,49
213,2022,MHT CET,ST,39600,46
213,2023,MHT CET,General,19400,59
213,2023,MHT CET,OBC,24400,54
213,2023,MHT CET,SC,34400,49
213,2023,MHT CET,ST,39400,46
213,2024,MHT CET,General,19200,60
213,2024,MHT CET,OBC,24200,55
213,2024,MHT CET,SC,34200,50
213,2024,MHT CET,ST,39200,47
213,2025,MHT CET,General,19000,60
213,2025,MHT CET,OBC,24000,55
213,2025,MHT CET,SC,34000,50
213,2025,MHT CET,ST,39000,47
214,2020,TANCET,General,10000,70
214,2020,TANCET,OBC,15000,65
214,2020,TANCET,SC,21000,60
214,2020,TANCET,ST,25000,57
214,2021,TANCET,General,9800,70
214,2021,TANCET,OBC,14800,65
214,2021,TANCET,SC,20800,60
214,2021,TANCET,ST,24800,57
214,2022,TANCET,General,9600,71
214,2022,TANCET,OBC,14600,66
214,2022,TANCET,SC,20600,61
214,2022,TANCET,ST,24600,58
214,2023,TANCET,General,9400,71
214,2023,TANCET,OBC,14400,66
214,2023,TANCET,SC,20400,61
214,2023,TANCET,ST,24400,58
214,2024,TANCET,General,9200,72
214,2024,TANCET,OBC,14200,67
214,2024,TANCET,SC,20200,62
214,2024,TANCET,ST,24200,59
214,2025,TANCET,General,9000,72
214,2025,TANCET,OBC,14000,67
214,2025,TANCET,SC,20000,62
214,2025,TANCET,ST,24000,59
215,2020,UGCET,General,23000,57
215,2020,UGCET,OBC,28000,52
215,2020,UGCET,SC,38000,47
215,2020,UGCET,ST,43000,44
215,2021,UGCET,General,22800,57
215,2021,UGCET,OBC,27800,52
215,2021,UGCET,SC,37800,47
215,2021,UGCET,ST,42800,44
215,2022,UGCET,General,22600,58
215,2022,UGCET,OBC,27600,53
215,2022,UGCET,SC,37600,48
215,2022,UGCET,ST,42600,45
215,2023,UGCET,General,22400,58
215,2023,UGCET,OBC,27400,53
215,2023,UGCET,SC,37400,48
215,2023,UGCET,ST,42400,45
215,2024,UGCET,General,22200,59
215,2024,UGCET,OBC,27200,54
215,2024,UGCET,SC,37200,49
215,2024,UGCET,ST,42200,46
215,2025,UGCET,General,22000,59
215,2025,UGCET,OBC,27000,54
215,2025,UGCET,SC,37000,49
215,2025,UGCET,ST,42000,46
216,2020,PGCET,General,7500,72
216,2020,PGCET,OBC,11500,67
216,2020,PGCET,SC,16500,62
216,2020,PGCET,ST,19500,59
216,2021,PGCET,General,7400,72
216,2021,PGCET,OBC,11400,67
216,2021,PGCET,SC,16400,62
216,2021,PGCET,ST,19400,59
216,2022,PGCET,General,7300,73
216,2022,PGCET,OBC,11300,68
216,2022,PGCET,SC,16300,63
216,2022,PGCET,ST,19300,60
216,2023,PGCET,General,7200,73
216,2023,PGCET,OBC,11200,68
216,2023,PGCET,SC,16200,63
216,2023,PGCET,ST,19200,60
216,2024,PGCET,General,7100,74
216,2024,PGCET,OBC,11100,69
216,2024,PGCET,SC,16100,64
216,2024,PGCET,ST,19100,61
216,2025,PGCET,General,7000,74
216,2025,PGCET,OBC,11000,69
216,2025,PGCET,SC,16000,64
216,2025,PGCET,ST,19000,61
217,2020,BCA Entrance,General,27000,53
217,2020,BCA Entrance,OBC,32000,48
217,2020,BCA Entrance,SC,42000,43
217,2020,BCA Entrance,ST,47000,40
217,2021,BCA Entrance,General,26800,53
217,2021,BCA Entrance,OBC,31800,48
217,2021,BCA Entrance,SC,41800,43
217,2021,BCA Entrance,ST,46800,40
217,2022,BCA Entrance,General,26600,54
217,2022,BCA Entrance,OBC,31600,49
217,2022,BCA Entrance,SC,41600,44
217,2022,BCA Entrance,ST,46600,41
217,2023,BCA Entrance,General,26400,54
217,2023,BCA Entrance,OBC,31400,49
217,2023,BCA Entrance,SC,41400,44
217,2023,BCA Entrance,ST,46400,41
217,2024,BCA Entrance,General,26200,55
217,2024,BCA Entrance,OBC,31200,50
217,2024,BCA Entrance,SC,41200,45
217,2024,BCA Entrance,ST,46200,42
217,2025,BCA Entrance,General,26000,55
217,2025,BCA Entrance,OBC,31000,50
217,2025,BCA Entrance,SC,41000,45
217,2025,BCA Entrance,ST,46000,42
218,2020,MCA Entrance,General,12000,66
218,2020,MCA Entrance,OBC,17000,61
218,2020,MCA Entrance,SC,24000,56
218,2020,MCA Entrance,ST,28000,53
218,2021,MCA Entrance,General,11800,66
218,2021,MCA Entrance,OBC,16800,61
218,2021,MCA Entrance,SC,23800,56
218,2021,MCA Entrance,ST,27800,53
218,2022,MCA Entrance,General,11600,67
218,2022,MCA Entrance,OBC,16600,62
218,2022,MCA Entrance,SC,23600,57
218,2022,MCA Entrance,ST,27600,54
218,2023,MCA Entrance,General,11400,67
218,2023,MCA Entrance,OBC,16400,62
218,2023,MCA Entrance,SC,23400,57
218,2023,MCA Entrance,ST,27400,54
218,2024,MCA Entrance,General,11200,68
218,2024,MCA Entrance,OBC,16200,63
218,2024,MCA Entrance,SC,23200,58
218,2024,MCA Entrance,ST,27200,55
218,2025,MCA Entrance,General,11000,68
218,2025,MCA Entrance,OBC,16000,63
218,2025,MCA Entrance,SC,23000,58
218,2025,MCA Entrance,ST,27000,55
219,2020,UGCET,General,21000,59
219,2020,UGCET,OBC,26000,54
219,2020,UGCET,SC,36000,49
219,2020,UGCET,ST,41000,46
219,2021,UGCET,General,20800,59
219,2021,UGCET,OBC,25800,54
219,2021,UGCET,SC,35800,49
219,2021,UGCET,ST,40800,46
219,2022,UGCET,General,20600,60
219,2022,UGCET,OBC,25600,55
219,2022,UGCET,SC,35600,50
219,2022,UGCET,ST,40600,47
219,2023,UGCET,General,20400,60
219,2023,UGCET,OBC,25400,55
219,2023,UGCET,SC,35400,50
219,2023,UGCET,ST,40400,47
219,2024,UGCET,General,20200,61
219,2024,UGCET,OBC,25200,56
219,2024,UGCET,SC,35200,51
219,2024,UGCET,ST,40200,48
219,2025,UGCET,General,20000,61
219,2025,UGCET,OBC,25000,56
219,2025,UGCET,SC,35000,51
219,2025,UGCET,ST,40000,48
220,2020,PGCET,General,8500,71
220,2020,PGCET,OBC,12500,66
220,2020,PGCET,SC,17500,61
220,2020,PGCET,ST,20500,58
220,2021,PGCET,General,8400,71
220,2021,PGCET,OBC,12400,66
220,2021,PGCET,SC,17400,61
220,2021,PGCET,ST,20400,58
220,2022,PGCET,General,8300,72
220,2022,PGCET,OBC,12300,67
220,2022,PGCET,SC,17300,62
220,2022,PGCET,ST,20300,59
220,2023,PGCET,General,8200,72
220,2023,PGCET,OBC,12200,67
220,2023,PGCET,SC,17200,62
220,2023,PGCET,ST,20200,59
220,2024,PGCET,General,8100,73
220,2024,PGCET,OBC,12100,68
220,2024,PGCET,SC,17100,63
220,2024,PGCET,ST,20100,60
220,2025,PGCET,General,8000,73
220,2025,PGCET,OBC,12000,68
220,2025,PGCET,SC,17000,63
220,2025,PGCET,ST,20000,60
